identifier,delay_seconds
1,3
2,3
3,5
4,5
5,3
6,5
7,5
8,5
9,4
10,3
11,3
12,4
13,6
14,4
15,5
16,4
17,3
18,5
19,4
20,3
21,4
22,3
23,4
24,3
25,5
26,4
27,4
28,3
29,5
30,6
31,4
32,5
33,4
34,6
35,3
36,6
37,5
38,6
39,3
40,6
41,6
42,3
43,6
44,6
45,4
46,6
47,3
48,4
49,5
50,5
51,3
52,4
53,4
54,3
55,4
56,3
57,5
58,3
59,3
60,4
61,6
62,3
63,3
64,3
65,5
66,3
67,6
68,5
69,3
70,6
71,3
72,3
73,6
74,6
75,3
76,6
77,5
78,4
79,3
80,5
81,3
82,5
83,6
84,4
85,6
86,5
87,5
88,5
89,5
90,6
91,6
92,6
93,3
94,4
95,3
96,4
97,3
98,6
99,5
100,4
101,6
102,5
103,6
104,3
105,4
106,6
107,4
108,5
109,3
110,5
111,5
112,4
113,6
114,3
115,3
116,4
117,5
118,3
119,4
120,4
121,3
122,4
123,5
124,5
125,5
126,5
127,4
128,6
129,5
130,5
131,6
132,4
133,3
134,6
135,4
136,3
137,3
138,4
139,4
140,6
141,4
142,3
143,6
144,4
145,3
146,5
147,4
148,3
149,5
150,3
151,6
152,6
153,3
154,4
155,6
156,5
157,5
158,4
159,4
160,5
161,6
162,3
163,4
164,6
165,5
166,6
167,4
168,3
169,6
170,3
171,5
172,4
173,3
174,4
175,5
176,6
177,6
178,3
179,4
180,3
181,4
182,3
183,4
184,4
185,4
186,3
187,4
188,6
189,4
190,3
191,4
192,4
193,4
194,5
195,5
196,4
197,5
198,6
199,4
200,3
201,3
202,3
203,4
204,5
205,3
206,3
207,3
208,3
209,4
210,4
211,5
212,3
213,5
214,6
215,5
216,5
217,5
218,3
219,5
220,4
221,5
222,5
223,6
224,3
225,5
226,5
227,6
228,6
229,6
230,6
231,6
232,4
233,4
234,5
235,5
236,6
237,5
238,3
239,3
240,3
241,6
242,5
243,3
244,3
245,6
246,4
247,4
248,4
249,6
250,3
251,3
252,5
253,4
254,6
255,5
256,6
257,5
258,5
259,5
260,3
261,6
262,3
263,5
264,6
265,4
266,6
267,5
268,5
269,3
270,4
271,4
272,5
273,6
274,4
275,5
276,6
277,3
278,3
279,5
280,4
281,6
282,3
283,5
284,3
285,6
286,3
287,6
288,4
289,6
290,4
291,4
292,6
293,4
294,4
295,4
296,5
297,5
298,4
299,4
300,3
301,5
302,3
303,5
304,5
305,6
306,4
307,6
308,4
309,5
310,4
311,6
312,3
313,6
314,6
315,6
316,6
317,5
318,4
319,6
320,6
321,5
322,4
323,3
324,4
325,4
326,6
327,4
328,3
329,4
330,6
331,5
332,5
333,5
334,3
335,5
336,4
337,3
338,6
339,3
340,4
341,3
342,3
343,3
344,4
345,5
346,3
347,5
348,4
349,5
350,4
351,4
352,5
353,3
354,4
355,5
356,3
357,4
358,3
359,4
360,5
361,3
362,4
363,4
364,4
365,3
366,3
367,5
368,5
369,4
370,4
371,5
372,4
373,4
374,6
375,3
376,4
377,3
378,4
379,3
380,4
381,4
382,3
383,4
384,6
385,4
386,4
387,6
388,5
389,5
390,4
391,6
392,3
393,6
394,5
395,6
396,4
397,6
398,3
399,4
400,4
401,3
402,5
403,3
404,4
405,3
406,6
407,3
408,5
409,3
410,6
411,4
412,5
413,4
414,6
415,3
416,5
417,3
418,3
419,4
420,4
421,4
422,5
423,6
424,4
425,3
426,4
427,4
428,5
429,4
430,4
431,4
432,3
433,4
434,4
435,5
436,4
437,5
438,3
439,5
440,4
441,3
442,5
443,4
444,5
445,5
446,5
447,5
448,6
449,3
450,3
451,5
452,5
453,6
454,4
455,4
456,5
457,5
458,3
459,3
460,4
461,4
462,4
463,5
464,3
465,5
466,5
467,6
468,6
469,4
470,5
471,5
472,6
473,4
474,3
475,3
476,3
477,4
478,6
479,3
480,3
481,5
482,3
483,4
484,6
485,4
486,5
487,5
488,6
489,4
490,5
491,6
492,5
493,5
494,3
495,3
496,5
497,5
498,6
499,6
500,5
501,5
502,3
503,4
504,4
505,3
506,3
507,5
508,6
509,4
510,3
511,3
512,3
513,5
514,3
515,5
516,4
517,4
518,6
519,6
520,6
521,6
522,6
523,3
524,6
525,4
526,4
527,3
528,5
529,3
530,3
531,4
532,3
533,4
534,5
535,6
536,6
537,4
538,6
539,6
540,3
541,6
542,4
543,4
544,6
545,3
546,6
547,4
548,4
549,3
550,5
551,6
552,5
553,5
554,4
555,3
556,3
557,6
558,6
559,6
560,5
561,6
562,3
563,5
564,6
565,6
566,5
567,6
568,4
569,4
570,4
571,3
572,4
573,3
574,6
575,6
576,4
577,4
578,4
579,3
580,6
581,6
582,6
583,5
584,3
585,5
586,5
587,6
588,3
589,6
590,4
591,5
592,6
593,4
594,6
595,3
596,5
597,4
598,3
599,6
600,3
601,6
602,5
603,6
604,5
605,6
606,6
607,4
608,4
609,4
610,3
611,3
612,3
613,3
