identifier,delay_seconds,owned
1,3,true
2,3,true
3,3,true
4,3,true
5,3,true
6,3,true
7,3,true
8,3,true
9,3,true
10,3,true
11,3,true
12,3,true
13,3,true
14,3,true
15,3,true
16,3,true
17,3,true
18,3,true
19,3,true
20,3,true
21,3,true
22,3,true
23,3,true
24,3,true
25,3,true
26,3,true
27,3,true
28,3,true
29,3,true
30,3,true
31,3,true
32,3,true
33,3,true
34,3,true
35,3,true
36,3,true
37,3,true
38,3,true
39,3,true
40,3,true
41,3,true
42,3,true
43,3,true
44,3,true
45,3,true
46,3,true
47,3,true
48,3,true
49,3,true
50,3,true
51,3,true
52,3,true
53,3,true
54,3,true
55,3,true
56,3,true
57,3,true
58,3,true
59,3,true
60,3,true
61,3,true
62,3,true
63,3,true
64,3,true
65,3,true
66,3,true
67,3,true
68,3,true
69,3,true
70,3,true
71,3,true
72,3,true
73,3,true
74,3,true
75,3,true
76,3,true
77,3,true
78,3,true
79,3,true
80,3,true
81,3,true
82,3,true
83,3,true
84,3,true
85,3,true
86,3,true
87,3,true
88,3,true
89,3,true
90,3,true
91,3,true
92,3,true
93,3,true
94,3,true
95,3,true
96,3,true
97,3,true
98,3,true
99,3,true
100,3,true
101,3,true
102,3,true
103,3,true
104,3,true
105,3,true
106,3,true
107,3,true
108,3,true
109,3,true
110,3,true
111,3,true
112,3,true
113,3,true
114,3,true
115,3,true
116,3,true
117,3,true
118,3,true
119,3,true
120,3,true
121,3,true
122,3,true
123,3,true
124,3,true
125,3,true
126,3,true
127,3,true
128,3,true
129,3,true
130,3,true
131,3,true
132,3,true
133,3,true
134,3,true
135,3,true
136,3,true
137,3,true
138,3,true
139,3,true
140,3,true
141,3,true
142,3,true
143,3,true
144,3,true
145,3,true
146,3,true
147,3,true
148,3,true
149,3,true
150,3,true
151,3,true
152,3,true
153,3,true
154,3,true
155,3,true
156,3,true
157,3,true
158,3,true
159,3,true
160,3,true
161,3,true
162,3,true
163,3,true
164,3,true
165,3,true
166,3,true
167,3,true
168,3,true
169,3,true
170,3,true
171,3,true
172,3,true
173,3,true
174,3,true
175,3,true
176,3,true
177,3,true
178,3,true
179,3,true
180,3,true
181,3,true
182,3,true
183,3,true
184,3,true
185,3,true
186,3,true
187,3,true
188,3,true
189,3,true
190,3,true
191,3,true
192,3,true
193,3,true
194,3,true
195,3,true
196,3,true
197,3,true
198,3,true
199,3,true
200,3,true
201,3,true
202,3,true
203,3,true
204,3,true
205,3,true
206,3,true
207,3,true
208,3,true
209,3,true
210,3,true
211,3,true
212,3,true
213,3,true
214,3,true
215,3,true
216,3,true
217,3,true
218,3,true
219,3,true
220,3,true
221,3,true
222,3,true
223,3,true
224,3,true
225,3,true
226,3,true
227,3,true
228,3,true
229,3,true
230,3,true
231,3,true
232,3,true
233,3,true
234,3,true
235,3,true
236,3,true
237,3,true
238,3,true
239,3,true
240,3,true
241,3,true
242,3,true
243,3,true
244,3,true
245,3,true
246,3,true
247,3,true
248,3,true
249,3,true
250,3,true
251,3,true
252,3,true
253,3,true
254,3,true
255,3,true
256,3,true
257,3,true
258,3,true
259,3,true
260,3,true
261,3,true
262,3,true
263,3,true
264,3,true
265,3,true
266,3,true
267,3,true
268,3,true
269,3,true
270,3,true
271,3,true
272,3,true
273,3,true
274,3,true
275,3,true
276,3,true
277,3,true
278,3,true
279,3,true
280,3,true
281,3,true
282,3,true
283,3,true
284,3,true
285,3,true
286,3,true
287,3,true
288,3,true
289,3,true
290,3,true
291,3,true
292,3,true
293,3,true
294,3,true
295,3,true
296,3,true
297,3,true
298,3,true
299,3,true
300,3,true
301,3,true
302,3,true
303,3,true
304,3,true
305,3,true
306,3,true
307,3,true
308,3,true
309,3,true
310,3,true
311,3,true
312,3,true
313,3,true
314,3,true
315,3,true
316,3,true
317,3,true
318,3,true
319,3,true
320,3,true
321,3,true
322,3,true
323,3,true
324,3,true
325,3,true
326,3,true
327,3,true
328,3,true
329,3,true
330,3,true
331,3,true
332,3,true
333,3,true
334,3,true
335,3,true
336,3,true
337,3,true
338,3,true
339,3,true
340,3,true
341,3,true
342,3,true
343,3,true
344,3,true
345,3,true
346,3,true
347,3,true
348,3,true
349,3,true
350,3,true
351,3,true
352,3,true
353,3,true
354,3,true
355,3,true
356,3,true
357,3,true
358,3,true
359,3,true
360,3,true
361,3,true
362,3,true
363,3,true
364,3,true
365,3,true
366,3,true
367,3,true
368,3,true
369,3,true
370,3,true
371,3,true
372,3,true
373,3,true
374,3,true
375,3,true
376,3,true
377,3,true
378,3,true
379,3,true
380,3,true
381,3,true
382,3,true
383,3,true
384,3,true
385,3,true
386,3,true
387,3,true
388,3,true
389,3,true
390,3,true
391,3,true
392,3,true
393,3,true
394,3,true
395,3,true
396,3,true
397,3,true
398,3,true
399,3,true
400,3,true
401,3,true
402,3,true
403,3,true
404,3,true
405,3,true
406,3,true
407,3,true
408,3,true
409,3,true
410,3,true
411,3,true
412,3,true
413,3,true
414,3,true
415,3,true
416,3,true
417,3,true
418,3,true
419,3,true
420,3,true
421,3,true
422,3,true
423,3,true
424,3,true
425,3,true
426,3,true
427,3,true
428,3,true
429,3,true
430,3,true
431,3,true
432,3,true
433,3,true
434,3,true
435,3,true
436,3,true
437,3,true
438,3,true
439,3,true
440,3,true
441,3,true
442,3,true
443,3,true
444,3,true
445,3,true
446,3,true
447,3,true
448,3,true
449,3,true
450,3,true
451,3,true
452,3,true
453,3,true
454,3,true
455,3,true
456,3,true
457,3,true
458,3,true
459,3,true
460,3,true
461,3,true
462,3,true
463,3,true
464,3,true
465,3,true
466,3,true
467,3,true
468,3,true
469,3,true
470,3,true
471,3,true
472,3,true
473,3,true
474,3,true
475,3,true
476,3,true
477,3,true
478,3,true
479,3,true
480,3,true
