id,error_rate
amknywr,0.35
apigcyd,0.34615384615384615
apsskyul,0.16666666666666663
asigno,0.4571428571428572
eicmynts,0.33333333333333337
ekenucki,0.3125
enjubpl,0.30000000000000004
epemvagu,0.19999999999999996
iafstnue,0.34615384615384615
ichankru,0.3214285714285714
ijhipvo,0.4444444444444444
odocjeca,0.4054054054054054
ojwyky,0.3793103448275862
ophgir,0.29032258064516125
oquiat,0.375
ubgihoot,0.38095238095238093
ubjaju,0.31034482758620685
ugifmav,0.36
upsjavci,0.31999999999999995
utwoab,0.22580645161290325
