Jan 12 23:08:21.088 INFO node constructed, self.uid: 11
Jan 12 23:10:17.324 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:10:20.350 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:10:40.704 INFO update_trustworthiness_with, trustworthiness after this call: 0.6373927001919195, self.uid: 11
Jan 12 23:12:30.939 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:12:44.091 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:12:53.332 INFO update_trustworthiness_with, trustworthiness after this call: 0.5779727078580682, self.uid: 11
Jan 12 23:14:43.226 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:14:50.152 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:15:05.648 INFO update_trustworthiness_with, trustworthiness after this call: 0.5445075723125603, self.uid: 11
Jan 12 23:16:55.720 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:17:09.276 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:17:18.160 INFO update_trustworthiness_with, trustworthiness after this call: 0.5254066257031614, self.uid: 11
Jan 12 23:19:08.328 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:19:15.025 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:19:30.852 INFO update_trustworthiness_with, trustworthiness after this call: 0.5145008021273696, self.uid: 11
Jan 12 23:21:20.969 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:21:23.594 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:21:43.139 INFO update_trustworthiness_with, trustworthiness after this call: 0.5082756787419812, self.uid: 11
Jan 12 23:23:33.218 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 11
Jan 12 23:23:42.900 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 11
Jan 12 23:23:56.372 INFO update_trustworthiness_with, trustworthiness after this call: 0.5047228336046565, self.uid: 11
