Jan 12 23:08:21.063 INFO node constructed, self.uid: 91
Jan 12 23:09:01.562 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:10:29.298 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:10:40.671 INFO update_trustworthiness_with, trustworthiness after this call: 0.7287648361364254, self.uid: 91
Jan 12 23:11:15.738 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:12:36.172 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:12:53.306 INFO update_trustworthiness_with, trustworthiness after this call: 0.6312358027103991, self.uid: 91
Jan 12 23:13:28.273 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:14:44.333 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:15:05.623 INFO update_trustworthiness_with, trustworthiness after this call: 0.575104136794004, self.uid: 91
Jan 12 23:15:40.712 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:16:57.639 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:17:18.134 INFO update_trustworthiness_with, trustworthiness after this call: 0.5428860868781547, self.uid: 91
Jan 12 23:17:53.236 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:19:17.435 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:19:30.824 INFO update_trustworthiness_with, trustworthiness after this call: 0.5244766455543072, self.uid: 91
Jan 12 23:20:05.884 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:21:35.615 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:21:43.114 INFO update_trustworthiness_with, trustworthiness after this call: 0.5139684804642709, self.uid: 91
Jan 12 23:22:18.253 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 91
Jan 12 23:23:46.140 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 91
Jan 12 23:23:56.345 INFO update_trustworthiness_with, trustworthiness after this call: 0.507971523550826, self.uid: 91
