Jan 12 23:08:21.097 INFO node constructed, self.uid: 1
Jan 12 23:08:49.364 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:10:26.692 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:10:40.663 INFO update_trustworthiness_with, trustworthiness after this call: 0.6659656765214119, self.uid: 1
Jan 12 23:11:03.808 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:12:45.847 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:12:53.301 INFO update_trustworthiness_with, trustworthiness after this call: 0.591601368522766, self.uid: 1
Jan 12 23:13:16.374 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:14:47.844 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:15:05.617 INFO update_trustworthiness_with, trustworthiness after this call: 0.5520521467030485, self.uid: 1
Jan 12 23:15:28.719 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:17:09.138 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:17:18.129 INFO update_trustworthiness_with, trustworthiness after this call: 0.5296803001537117, self.uid: 1
Jan 12 23:17:41.272 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:19:14.590 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:19:30.819 INFO update_trustworthiness_with, trustworthiness after this call: 0.5169344731447557, self.uid: 1
Jan 12 23:19:53.897 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:21:35.740 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:21:43.108 INFO update_trustworthiness_with, trustworthiness after this call: 0.5096636194725981, self.uid: 1
Jan 12 23:22:06.230 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 1
Jan 12 23:23:38.724 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 12 23:23:56.339 INFO update_trustworthiness_with, trustworthiness after this call: 0.5055147434266498, self.uid: 1
