Jan 12 23:08:21.092 INFO node constructed, self.uid: 61
Jan 12 23:08:30.045 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:10:23.948 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:10:40.652 INFO update_trustworthiness_with, trustworthiness after this call: 0.6698311201627812, self.uid: 61
Jan 12 23:10:44.692 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:12:38.476 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:12:53.290 INFO update_trustworthiness_with, trustworthiness after this call: 0.5961444955937487, self.uid: 61
Jan 12 23:12:57.323 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:14:45.610 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:15:05.608 INFO update_trustworthiness_with, trustworthiness after this call: 0.5549319388387908, self.uid: 61
Jan 12 23:15:09.641 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:17:05.449 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:17:18.119 INFO update_trustworthiness_with, trustworthiness after this call: 0.531362540103488, self.uid: 61
Jan 12 23:17:22.149 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:19:11.711 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:19:30.810 INFO update_trustworthiness_with, trustworthiness after this call: 0.5179000203963093, self.uid: 61
Jan 12 23:19:34.821 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:21:31.770 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:21:43.100 INFO update_trustworthiness_with, trustworthiness after this call: 0.5102154594222562, self.uid: 61
Jan 12 23:21:47.144 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 61
Jan 12 23:23:39.897 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 61
Jan 12 23:23:56.330 INFO update_trustworthiness_with, trustworthiness after this call: 0.505829794333627, self.uid: 61
