Jan 12 23:37:08.627 INFO node constructed, self.uid: 93
Jan 12 23:38:50.601 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
Jan 12 23:39:12.664 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 93
Jan 12 23:39:26.823 INFO update_trustworthiness_with, trustworthiness after this call: 0.7110548492857895, self.uid: 93
Jan 12 23:41:03.193 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
Jan 12 23:41:27.360 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 93
Jan 12 23:41:39.135 INFO update_trustworthiness_with, trustworthiness after this call: 0.6245967863701611, self.uid: 93
Jan 12 23:43:15.513 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
Jan 12 23:43:42.743 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 93
Jan 12 23:43:49.739 INFO update_trustworthiness_with, trustworthiness after this call: 0.5721126720899324, self.uid: 93
Jan 12 23:45:26.086 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
Jan 12 23:47:35.003 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
Jan 12 23:49:41.901 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 93
