Jan 12 23:37:08.627 INFO node constructed, self.uid: 50
Jan 12 23:38:25.139 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:39:17.891 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:39:26.811 INFO update_trustworthiness_with, trustworthiness after this call: 0.748905544389042, self.uid: 50
Jan 12 23:40:37.968 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:41:21.546 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:41:39.125 INFO update_trustworthiness_with, trustworthiness after this call: 0.6464274461955948, self.uid: 50
Jan 12 23:42:50.205 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:43:40.577 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:43:49.729 INFO update_trustworthiness_with, trustworthiness after this call: 0.5847831079010248, self.uid: 50
Jan 12 23:45:00.751 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:45:51.735 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:45:58.788 INFO update_trustworthiness_with, trustworthiness after this call: 0.5510978012899389, self.uid: 50
Jan 12 23:47:09.744 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:47:56.503 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:48:05.710 INFO update_trustworthiness_with, trustworthiness after this call: 0.5343873958486988, self.uid: 50
Jan 12 23:49:16.648 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 12 23:50:02.710 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 12 23:50:11.936 INFO update_trustworthiness_with, trustworthiness after this call: 0.5262360486927443, self.uid: 50
