Jan 12 23:37:08.658 INFO node constructed, self.uid: 39
Jan 12 23:39:02.327 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:39:13.670 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:39:26.830 INFO update_trustworthiness_with, trustworthiness after this call: 0.6569754302447431, self.uid: 39
Jan 12 23:41:14.841 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:41:30.338 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:41:39.140 INFO update_trustworthiness_with, trustworthiness after this call: 0.5841317729791178, self.uid: 39
Jan 12 23:43:27.185 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:43:35.273 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:43:49.743 INFO update_trustworthiness_with, trustworthiness after this call: 0.5477881269077373, self.uid: 39
Jan 12 23:45:37.673 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:45:41.865 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:45:58.799 INFO update_trustworthiness_with, trustworthiness after this call: 0.5282327278864724, self.uid: 39
Jan 12 23:47:46.576 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:47:56.772 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:48:05.722 INFO update_trustworthiness_with, trustworthiness after this call: 0.5180823603740266, self.uid: 39
Jan 12 23:49:53.444 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 39
Jan 12 23:50:02.278 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 12 23:50:11.947 INFO update_trustworthiness_with, trustworthiness after this call: 0.5132168842685779, self.uid: 39
