Jan 12 23:37:08.655 INFO node constructed, self.uid: 15
Jan 12 23:37:32.828 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:39:19.472 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:39:26.786 INFO update_trustworthiness_with, trustworthiness after this call: 0.7698410351623677, self.uid: 15
Jan 12 23:39:45.908 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:41:31.755 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:41:39.104 INFO update_trustworthiness_with, trustworthiness after this call: 0.6574965889891456, self.uid: 15
Jan 12 23:41:58.199 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:43:37.012 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:43:49.711 INFO update_trustworthiness_with, trustworthiness after this call: 0.5908666900515346, self.uid: 15
Jan 12 23:44:08.712 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:45:52.607 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:45:58.772 INFO update_trustworthiness_with, trustworthiness after this call: 0.55482215365126, self.uid: 15
Jan 12 23:46:17.812 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:47:52.365 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:48:05.692 INFO update_trustworthiness_with, trustworthiness after this call: 0.5364406671822464, self.uid: 15
Jan 12 23:48:24.742 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 12 23:49:58.736 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 12 23:50:11.922 INFO update_trustworthiness_with, trustworthiness after this call: 0.5276509271850713, self.uid: 15
