Jan 13 01:21:41.399 INFO node constructed, self.uid: 32
Jan 13 01:23:23.655 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:23:41.346 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:23:59.288 INFO update_trustworthiness_with, trustworthiness after this call: 0.7494442805545528, self.uid: 32
Jan 13 01:25:36.185 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:26:02.140 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:26:08.427 INFO update_trustworthiness_with, trustworthiness after this call: 0.6431943016848014, self.uid: 32
Jan 13 01:27:45.367 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:28:03.841 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:28:14.815 INFO update_trustworthiness_with, trustworthiness after this call: 0.5897292794158722, self.uid: 32
Jan 13 01:29:51.848 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:30:07.862 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:30:20.190 INFO update_trustworthiness_with, trustworthiness after this call: 0.5658365423529672, self.uid: 32
Jan 13 01:31:57.332 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:32:20.327 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:32:23.277 INFO update_trustworthiness_with, trustworthiness after this call: 0.555398372432713, self.uid: 32
Jan 13 01:34:00.281 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:34:14.584 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:34:25.286 INFO update_trustworthiness_with, trustworthiness after this call: 0.5514064133827952, self.uid: 32
