Jan 13 01:21:41.398 INFO node constructed, self.uid: 90
Jan 13 01:22:01.657 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
Jan 13 01:23:47.430 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 90
Jan 13 01:23:59.249 INFO update_trustworthiness_with, trustworthiness after this call: 0.6683127109557868, self.uid: 90
Jan 13 01:24:14.544 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
Jan 13 01:25:59.278 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 90
Jan 13 01:26:08.400 INFO update_trustworthiness_with, trustworthiness after this call: 0.5923212808267978, self.uid: 90
Jan 13 01:26:23.620 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
Jan 13 01:28:30.035 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
Jan 13 01:30:35.460 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
Jan 13 01:32:38.543 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 90
