Jan 13 01:21:41.419 INFO node constructed, self.uid: 25
Jan 13 01:22:51.378 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:23:49.009 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:23:59.272 INFO update_trustworthiness_with, trustworthiness after this call: 0.7048044051867179, self.uid: 25
Jan 13 01:25:04.006 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:25:56.093 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:26:08.417 INFO update_trustworthiness_with, trustworthiness after this call: 0.613776477791204, self.uid: 25
Jan 13 01:27:13.115 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:28:04.564 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:28:14.807 INFO update_trustworthiness_with, trustworthiness after this call: 0.573171700760436, self.uid: 25
Jan 13 01:29:19.558 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:30:08.008 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:30:20.183 INFO update_trustworthiness_with, trustworthiness after this call: 0.5540463386320853, self.uid: 25
Jan 13 01:31:25.112 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:32:17.309 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:32:23.271 INFO update_trustworthiness_with, trustworthiness after this call: 0.5454628458526338, self.uid: 25
Jan 13 01:33:28.150 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 01:34:17.123 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 01:34:25.280 INFO update_trustworthiness_with, trustworthiness after this call: 0.5422090048826724, self.uid: 25
