Jan 13 01:21:41.415 INFO node constructed, self.uid: 28
Jan 13 01:23:21.616 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:23:49.585 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:23:59.287 INFO update_trustworthiness_with, trustworthiness after this call: 0.6212165877031992, self.uid: 28
Jan 13 01:25:34.130 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:25:56.233 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:26:08.427 INFO update_trustworthiness_with, trustworthiness after this call: 0.5638207531948213, self.uid: 28
Jan 13 01:27:43.325 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:28:06.842 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:28:14.815 INFO update_trustworthiness_with, trustworthiness after this call: 0.5403627239341127, self.uid: 28
Jan 13 01:29:49.805 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:30:11.660 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:30:20.190 INFO update_trustworthiness_with, trustworthiness after this call: 0.5310793822456884, self.uid: 28
Jan 13 01:31:55.301 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:32:15.591 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:32:23.276 INFO update_trustworthiness_with, trustworthiness after this call: 0.5274728222224359, self.uid: 28
Jan 13 01:33:58.226 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 28
Jan 13 01:34:19.700 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 28
Jan 13 01:34:25.286 INFO update_trustworthiness_with, trustworthiness after this call: 0.5265505908569676, self.uid: 28
