Jan 13 01:21:41.398 INFO node constructed, self.uid: 85
Jan 13 01:23:25.179 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:23:45.117 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:23:59.289 INFO update_trustworthiness_with, trustworthiness after this call: 0.6990649859056391, self.uid: 85
Jan 13 01:25:37.680 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:25:54.230 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:26:08.428 INFO update_trustworthiness_with, trustworthiness after this call: 0.6140520479045779, self.uid: 85
Jan 13 01:27:46.861 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:28:04.703 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:28:14.815 INFO update_trustworthiness_with, trustworthiness after this call: 0.5705501084654083, self.uid: 85
Jan 13 01:29:53.353 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:30:13.205 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:30:20.191 INFO update_trustworthiness_with, trustworthiness after this call: 0.5507175414437238, self.uid: 85
Jan 13 01:31:58.828 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:32:16.863 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:32:23.277 INFO update_trustworthiness_with, trustworthiness after this call: 0.5421193669178767, self.uid: 85
Jan 13 01:34:01.792 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 85
Jan 13 01:34:17.835 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 85
Jan 13 01:34:25.287 INFO update_trustworthiness_with, trustworthiness after this call: 0.5388531544358677, self.uid: 85
