Jan 13 01:21:41.402 INFO node constructed, self.uid: 20
Jan 13 01:22:49.377 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
Jan 13 01:23:48.286 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 01:23:59.272 INFO update_trustworthiness_with, trustworthiness after this call: 0.7556037803793002, self.uid: 20
Jan 13 01:25:01.995 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
Jan 13 01:25:59.427 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 01:26:08.417 INFO update_trustworthiness_with, trustworthiness after this call: 0.6487166058827469, self.uid: 20
Jan 13 01:27:11.123 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
Jan 13 01:28:05.118 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 01:28:14.807 INFO update_trustworthiness_with, trustworthiness after this call: 0.5931979603878743, self.uid: 20
Jan 13 01:29:17.544 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
Jan 13 01:30:12.497 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 01:30:20.183 INFO update_trustworthiness_with, trustworthiness after this call: 0.5675648608846485, self.uid: 20
Jan 13 01:31:23.132 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
Jan 13 01:33:26.174 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 20
