Jan 13 01:21:41.402 INFO node constructed, self.uid: 86
Jan 13 01:23:27.157 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:23:46.703 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:23:59.290 INFO update_trustworthiness_with, trustworthiness after this call: 0.7925703332301087, self.uid: 86
Jan 13 01:25:39.623 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:26:00.433 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:26:08.428 INFO update_trustworthiness_with, trustworthiness after this call: 0.6672727003384071, self.uid: 86
Jan 13 01:27:48.789 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:28:09.606 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:28:14.816 INFO update_trustworthiness_with, trustworthiness after this call: 0.6030845741882565, self.uid: 86
Jan 13 01:29:55.330 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:30:15.519 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:30:20.191 INFO update_trustworthiness_with, trustworthiness after this call: 0.5726193290957874, self.uid: 86
Jan 13 01:32:00.795 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:32:12.308 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:32:23.277 INFO update_trustworthiness_with, trustworthiness after this call: 0.5595923870707533, self.uid: 86
Jan 13 01:34:03.758 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 86
Jan 13 01:34:20.674 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 86
Jan 13 01:34:25.287 INFO update_trustworthiness_with, trustworthiness after this call: 0.5545694616560723, self.uid: 86
