Jan 13 01:39:59.381 INFO node constructed, self.uid: 15
Jan 13 01:40:26.083 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 13 01:42:03.967 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 01:42:17.367 INFO update_trustworthiness_with, trustworthiness after this call: 0.7016600039903413, self.uid: 15
Jan 13 01:42:39.044 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 13 01:44:10.687 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 01:44:27.269 INFO update_trustworthiness_with, trustworthiness after this call: 0.6089909156372475, self.uid: 15
Jan 13 01:44:48.949 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 13 01:46:25.285 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 01:46:34.330 INFO update_trustworthiness_with, trustworthiness after this call: 0.5635407752569296, self.uid: 15
Jan 13 01:46:56.012 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 13 01:48:59.576 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
Jan 13 01:51:02.230 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 15
