Jan 13 01:39:59.382 INFO node constructed, self.uid: 49
Jan 13 01:41:02.338 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:42:05.251 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:42:17.385 INFO update_trustworthiness_with, trustworthiness after this call: 0.7072173120824655, self.uid: 49
Jan 13 01:43:15.149 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:44:19.724 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:44:27.283 INFO update_trustworthiness_with, trustworthiness after this call: 0.6105731785580841, self.uid: 49
Jan 13 01:45:25.018 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:46:29.564 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:46:34.341 INFO update_trustworthiness_with, trustworthiness after this call: 0.5636705488630458, self.uid: 49
Jan 13 01:47:32.064 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:48:33.293 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:48:37.947 INFO update_trustworthiness_with, trustworthiness after this call: 0.5433547127142019, self.uid: 49
Jan 13 01:49:35.833 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:50:32.300 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:50:40.576 INFO update_trustworthiness_with, trustworthiness after this call: 0.5355827812788287, self.uid: 49
Jan 13 01:51:38.289 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 49
Jan 13 01:52:33.299 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 49
Jan 13 01:52:40.637 INFO update_trustworthiness_with, trustworthiness after this call: 0.5327948357243768, self.uid: 49
