Jan 13 01:39:59.393 INFO node constructed, self.uid: 50
Jan 13 01:40:34.503 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:42:07.995 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:42:17.373 INFO update_trustworthiness_with, trustworthiness after this call: 0.7947540620884324, self.uid: 50
Jan 13 01:42:47.437 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:44:13.671 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:44:27.272 INFO update_trustworthiness_with, trustworthiness after this call: 0.6627672145032214, self.uid: 50
Jan 13 01:44:57.376 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:46:18.857 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 50
Jan 13 01:46:34.333 INFO update_trustworthiness_with, trustworthiness after this call: 0.5931552014992687, self.uid: 50
Jan 13 01:47:04.388 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:49:07.987 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
Jan 13 01:51:10.641 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 50
