Jan 13 01:39:59.392 INFO node constructed, self.uid: 88
Jan 13 01:40:17.329 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
Jan 13 01:42:08.717 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 88
Jan 13 01:42:17.362 INFO update_trustworthiness_with, trustworthiness after this call: 0.6850858896324391, self.uid: 88
Jan 13 01:42:30.273 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
Jan 13 01:44:17.263 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 88
Jan 13 01:44:27.265 INFO update_trustworthiness_with, trustworthiness after this call: 0.5978506333664156, self.uid: 88
Jan 13 01:44:40.228 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
Jan 13 01:46:22.872 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 88
Jan 13 01:46:34.326 INFO update_trustworthiness_with, trustworthiness after this call: 0.5564634421706796, self.uid: 88
Jan 13 01:46:47.276 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
Jan 13 01:48:30.689 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 88
Jan 13 01:48:37.932 INFO update_trustworthiness_with, trustworthiness after this call: 0.5387649209071926, self.uid: 88
Jan 13 01:48:50.836 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
Jan 13 01:50:53.509 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 88
