Jan 13 01:39:59.376 INFO node constructed, self.uid: 6
Jan 13 01:40:32.636 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
Jan 13 01:42:02.720 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 6
Jan 13 01:42:17.372 INFO update_trustworthiness_with, trustworthiness after this call: 0.7402069228572556, self.uid: 6
Jan 13 01:42:45.596 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
Jan 13 01:44:10.117 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 6
Jan 13 01:44:27.271 INFO update_trustworthiness_with, trustworthiness after this call: 0.627358610214952, self.uid: 6
Jan 13 01:44:55.503 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
Jan 13 01:46:21.848 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 6
Jan 13 01:46:34.332 INFO update_trustworthiness_with, trustworthiness after this call: 0.5750293439688843, self.uid: 6
Jan 13 01:47:02.546 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
Jan 13 01:48:32.584 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 6
Jan 13 01:48:37.937 INFO update_trustworthiness_with, trustworthiness after this call: 0.5515686164258127, self.uid: 6
Jan 13 01:49:06.127 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
Jan 13 01:51:08.768 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 6
