Jan 13 01:39:59.371 INFO node constructed, self.uid: 32
Jan 13 01:40:51.350 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:41:58.197 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:42:17.380 INFO update_trustworthiness_with, trustworthiness after this call: 0.7271687681321897, self.uid: 32
Jan 13 01:43:04.275 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:44:15.951 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:44:27.279 INFO update_trustworthiness_with, trustworthiness after this call: 0.6209472807863037, self.uid: 32
Jan 13 01:45:14.162 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:46:18.708 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:46:34.339 INFO update_trustworthiness_with, trustworthiness after this call: 0.570049210511452, self.uid: 32
Jan 13 01:47:21.191 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:48:32.993 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:48:37.943 INFO update_trustworthiness_with, trustworthiness after this call: 0.5477876385437563, self.uid: 32
Jan 13 01:49:24.772 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:50:34.583 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:50:40.572 INFO update_trustworthiness_with, trustworthiness after this call: 0.5391849171501522, self.uid: 32
Jan 13 01:51:27.415 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 32
Jan 13 01:52:35.475 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 32
Jan 13 01:52:40.633 INFO update_trustworthiness_with, trustworthiness after this call: 0.5360928699161557, self.uid: 32
