Jan 13 02:04:05.714 INFO node constructed, self.uid: 25
Jan 13 02:05:07.752 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 02:06:09.982 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 02:06:23.904 INFO update_trustworthiness_with, trustworthiness after this call: 0.8156689889961881, self.uid: 25
Jan 13 02:07:20.789 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 02:08:19.799 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 02:08:34.088 INFO update_trustworthiness_with, trustworthiness after this call: 0.6728467330228999, self.uid: 25
Jan 13 02:09:30.984 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 02:10:32.107 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 02:10:40.263 INFO update_trustworthiness_with, trustworthiness after this call: 0.6022778313681539, self.uid: 25
Jan 13 02:11:37.100 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 02:12:35.113 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 02:12:43.428 INFO update_trustworthiness_with, trustworthiness after this call: 0.5721269393324325, self.uid: 25
Jan 13 02:13:40.438 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 25
Jan 13 02:14:38.518 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 02:14:44.502 INFO update_trustworthiness_with, trustworthiness after this call: 0.562035364002402, self.uid: 25
