Jan 13 02:04:05.735 INFO node constructed, self.uid: 66
Jan 13 02:05:21.005 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 13 02:06:03.267 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 13 02:06:23.910 INFO update_trustworthiness_with, trustworthiness after this call: 0.7036999064230168, self.uid: 66
Jan 13 02:07:34.001 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 13 02:08:24.812 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 13 02:08:34.093 INFO update_trustworthiness_with, trustworthiness after this call: 0.6128474712704212, self.uid: 66
Jan 13 02:09:44.266 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 13 02:10:28.928 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 66
Jan 13 02:10:40.267 INFO update_trustworthiness_with, trustworthiness after this call: 0.5676488472734217, self.uid: 66
Jan 13 02:11:50.252 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
Jan 13 02:13:53.625 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 66
