Jan 13 02:25:41.586 INFO node constructed, self.uid: 45
Jan 13 02:26:41.140 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 45
Jan 13 02:27:50.665 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 02:27:59.621 INFO update_trustworthiness_with, trustworthiness after this call: 0.7107475277973183, self.uid: 45
Jan 13 02:28:53.918 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 45
Jan 13 02:29:51.437 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 02:30:07.801 INFO update_trustworthiness_with, trustworthiness after this call: 0.6133544483328942, self.uid: 45
Jan 13 02:31:02.035 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 45
Jan 13 02:32:06.551 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 02:32:12.423 INFO update_trustworthiness_with, trustworthiness after this call: 0.5640257698658182, self.uid: 45
Jan 13 02:33:06.686 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 45
Jan 13 02:34:04.310 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 02:34:12.715 INFO update_trustworthiness_with, trustworthiness after this call: 0.5432031149022152, self.uid: 45
Jan 13 02:35:06.970 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 45
Jan 13 02:36:08.349 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
