Jan 13 03:01:27.956 INFO node constructed, self.uid: 21
Jan 13 03:02:40.350 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 21
Jan 13 03:03:29.801 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 21
Jan 13 03:03:46.633 INFO update_trustworthiness_with, trustworthiness after this call: 0.6943381287850758, self.uid: 21
Jan 13 03:04:53.825 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 21
Jan 13 03:05:38.733 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 21
Jan 13 03:05:52.478 INFO update_trustworthiness_with, trustworthiness after this call: 0.5971987000394404, self.uid: 21
Jan 13 03:06:59.623 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 21
Jan 13 03:07:47.947 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 21
Jan 13 03:07:52.576 INFO update_trustworthiness_with, trustworthiness after this call: 0.5594971685927407, self.uid: 21
Jan 13 03:08:59.606 INFO get_dsij_pairs_shares, the number of public keys: 99, self.uid: 21
Jan 13 03:09:45.016 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 21
