Jan 13 12:54:00.460 INFO node constructed, self.uid: 11
Jan 13 12:54:06.373 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:06.985 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:07.580 INFO update_trustworthiness_with, trustworthiness after this call: 0.6675256129963443, self.uid: 11
Jan 13 12:54:08.481 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:09.155 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:09.672 INFO update_trustworthiness_with, trustworthiness after this call: 0.5983606090330853, self.uid: 11
Jan 13 12:54:10.605 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:11.036 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:11.686 INFO update_trustworthiness_with, trustworthiness after this call: 0.5592771414516794, self.uid: 11
Jan 13 12:54:12.565 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:13.351 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:13.540 INFO update_trustworthiness_with, trustworthiness after this call: 0.5391116310303203, self.uid: 11
Jan 13 12:54:14.424 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:14.978 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:15.445 INFO update_trustworthiness_with, trustworthiness after this call: 0.5290462091260503, self.uid: 11
Jan 13 12:54:16.369 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 11
Jan 13 12:54:16.794 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 11
Jan 13 12:54:17.304 INFO update_trustworthiness_with, trustworthiness after this call: 0.523999577984169, self.uid: 11
