Jan 13 13:28:31.619 INFO node constructed, self.uid: 8
Jan 13 13:28:37.978 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 8
Jan 13 13:28:38.130 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 8
Jan 13 13:28:38.932 INFO update_trustworthiness_with, trustworthiness after this call: 0.7260523123593025, self.uid: 8
Jan 13 13:28:40.255 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 8
Jan 13 13:28:40.607 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 8
Jan 13 13:28:41.065 INFO update_trustworthiness_with, trustworthiness after this call: 0.6074621737772509, self.uid: 8
Jan 13 13:28:42.394 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 8
Jan 13 13:28:42.701 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 8
Jan 13 13:28:42.902 INFO update_trustworthiness_with, trustworthiness after this call: 0.563410988571676, self.uid: 8
Jan 13 13:28:44.214 INFO get_dsij_pairs_shares, the number of public keys: 20, self.uid: 8
Jan 13 13:28:44.280 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 96, self.uid: 8
