Jan 12 22:58:47.597 INFO node constructed, self.uid: 34
Jan 12 22:58:59.513 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:58:59.584 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:02.908 INFO update_trustworthiness_with, trustworthiness after this call: 0.7717269167726215, self.uid: 34
Jan 12 22:59:09.694 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:59:10.537 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:13.104 INFO update_trustworthiness_with, trustworthiness after this call: 0.6519574354217572, self.uid: 34
Jan 12 22:59:19.881 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:59:20.453 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:23.306 INFO update_trustworthiness_with, trustworthiness after this call: 0.5839991440600582, self.uid: 34
Jan 12 22:59:30.105 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:59:31.588 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:33.513 INFO update_trustworthiness_with, trustworthiness after this call: 0.5464610973011862, self.uid: 34
Jan 12 22:59:40.315 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:59:41.364 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:43.749 INFO update_trustworthiness_with, trustworthiness after this call: 0.525710200515521, self.uid: 34
Jan 12 22:59:50.529 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 22:59:50.730 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 22:59:53.937 INFO update_trustworthiness_with, trustworthiness after this call: 0.5142296053889123, self.uid: 34
Jan 12 23:00:00.795 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 34
Jan 12 23:00:03.149 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 34
Jan 12 23:00:04.270 INFO update_trustworthiness_with, trustworthiness after this call: 0.5078759452925768, self.uid: 34
