Jan 13 12:50:05.366 INFO node constructed, self.uid: 25
Jan 13 12:50:15.298 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:50:19.241 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:50:21.107 INFO update_trustworthiness_with, trustworthiness after this call: 0.6715362661437718, self.uid: 25
Jan 13 12:50:25.909 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:50:28.393 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:50:31.128 INFO update_trustworthiness_with, trustworthiness after this call: 0.5853116509783454, self.uid: 25
Jan 13 12:50:35.994 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:50:38.722 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:50:41.197 INFO update_trustworthiness_with, trustworthiness after this call: 0.551129005226454, self.uid: 25
Jan 13 12:50:45.986 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:50:50.055 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:50:51.166 INFO update_trustworthiness_with, trustworthiness after this call: 0.535755597927029, self.uid: 25
Jan 13 12:50:56.004 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:50:58.256 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:51:00.969 INFO update_trustworthiness_with, trustworthiness after this call: 0.5287930309487509, self.uid: 25
Jan 13 12:51:05.802 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 25
Jan 13 12:51:08.757 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 25
Jan 13 12:51:10.315 INFO update_trustworthiness_with, trustworthiness after this call: 0.5257515561122784, self.uid: 25
