Jan 13 10:24:25.242 INFO node constructed, self.uid: 20
Jan 13 10:24:33.945 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 20
Jan 13 10:24:38.354 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 10:24:40.997 INFO update_trustworthiness_with, trustworthiness after this call: 0.6499533711275228, self.uid: 20
Jan 13 10:24:44.586 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 20
Jan 13 10:24:48.727 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 10:24:50.832 INFO update_trustworthiness_with, trustworthiness after this call: 0.5809961551050559, self.uid: 20
Jan 13 10:24:54.424 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 20
Jan 13 10:24:58.728 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 10:24:59.840 INFO update_trustworthiness_with, trustworthiness after this call: 0.5496516353034142, self.uid: 20
Jan 13 10:25:03.439 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 20
Jan 13 10:25:07.656 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
Jan 13 10:25:08.692 INFO update_trustworthiness_with, trustworthiness after this call: 0.5391892315657015, self.uid: 20
Jan 13 10:25:12.258 INFO get_dsij_pairs_shares, the number of public keys: 40, self.uid: 20
Jan 13 10:25:16.450 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 20
