Jan 13 09:38:01.207 INFO node constructed, self.uid: 17
Jan 13 09:38:12.501 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:38:28.750 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:38:36.308 INFO update_trustworthiness_with, trustworthiness after this call: 0.6285444462687683, self.uid: 17
Jan 13 09:38:42.564 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:39:02.242 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:39:06.074 INFO update_trustworthiness_with, trustworthiness after this call: 0.5612021252544575, self.uid: 17
Jan 13 09:39:12.352 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:39:28.559 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:39:35.946 INFO update_trustworthiness_with, trustworthiness after this call: 0.5318965760228453, self.uid: 17
Jan 13 09:39:42.234 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:39:58.449 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:40:05.691 INFO update_trustworthiness_with, trustworthiness after this call: 0.5169212380343196, self.uid: 17
Jan 13 09:40:11.990 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:40:29.622 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:40:35.606 INFO update_trustworthiness_with, trustworthiness after this call: 0.5090136818601683, self.uid: 17
Jan 13 09:40:41.849 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:41:02.009 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:41:05.387 INFO update_trustworthiness_with, trustworthiness after this call: 0.5048062017986029, self.uid: 17
Jan 13 09:41:11.630 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 17
Jan 13 09:41:30.347 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 17
Jan 13 09:41:35.270 INFO update_trustworthiness_with, trustworthiness after this call: 0.5025633411422291, self.uid: 17
