Jan 13 09:38:01.216 INFO node constructed, self.uid: 44
Jan 13 09:38:15.991 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:38:32.554 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:38:36.313 INFO update_trustworthiness_with, trustworthiness after this call: 0.7494578258573305, self.uid: 44
Jan 13 09:38:45.937 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:39:03.941 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:39:06.079 INFO update_trustworthiness_with, trustworthiness after this call: 0.6346710584563273, self.uid: 44
Jan 13 09:39:15.775 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:39:28.653 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:39:35.951 INFO update_trustworthiness_with, trustworthiness after this call: 0.5718213542166145, self.uid: 44
Jan 13 09:39:45.572 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:40:00.074 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:40:05.695 INFO update_trustworthiness_with, trustworthiness after this call: 0.5382993101329688, self.uid: 44
Jan 13 09:40:15.316 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:40:29.711 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:40:35.610 INFO update_trustworthiness_with, trustworthiness after this call: 0.5204269113686467, self.uid: 44
Jan 13 09:40:45.230 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:41:02.212 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:41:05.391 INFO update_trustworthiness_with, trustworthiness after this call: 0.5108952261491733, self.uid: 44
Jan 13 09:41:15.052 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 44
Jan 13 09:41:28.631 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 44
Jan 13 09:41:35.274 INFO update_trustworthiness_with, trustworthiness after this call: 0.50581131231937, self.uid: 44
