Jan 13 09:42:52.479 INFO node constructed, self.uid: 52
Jan 13 09:43:09.607 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:43:21.276 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:43:27.624 INFO update_trustworthiness_with, trustworthiness after this call: 0.7264684767765912, self.uid: 52
Jan 13 09:43:39.562 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:43:53.104 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:43:56.733 INFO update_trustworthiness_with, trustworthiness after this call: 0.6304704204610736, self.uid: 52
Jan 13 09:44:08.704 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:44:18.994 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:44:25.325 INFO update_trustworthiness_with, trustworthiness after this call: 0.5759563910908394, self.uid: 52
Jan 13 09:44:37.412 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:44:48.406 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:44:53.725 INFO update_trustworthiness_with, trustworthiness after this call: 0.5485455221977678, self.uid: 52
Jan 13 09:45:05.738 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:45:16.987 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:45:22.232 INFO update_trustworthiness_with, trustworthiness after this call: 0.5351478991489913, self.uid: 52
Jan 13 09:45:34.278 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 52
Jan 13 09:45:44.917 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 52
Jan 13 09:45:50.322 INFO update_trustworthiness_with, trustworthiness after this call: 0.5286978181019673, self.uid: 52
