Jan 13 09:47:30.168 INFO node constructed, self.uid: 23
Jan 13 09:47:49.655 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:47:59.972 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
Jan 13 09:48:05.243 INFO update_trustworthiness_with, trustworthiness after this call: 0.6095686763403129, self.uid: 23
Jan 13 09:48:19.591 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:48:27.566 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
Jan 13 09:48:33.485 INFO update_trustworthiness_with, trustworthiness after this call: 0.5554613822167209, self.uid: 23
Jan 13 09:48:47.809 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:48:56.082 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
Jan 13 09:49:00.938 INFO update_trustworthiness_with, trustworthiness after this call: 0.5350534849061774, self.uid: 23
Jan 13 09:49:15.267 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:49:25.900 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
Jan 13 09:49:27.751 INFO update_trustworthiness_with, trustworthiness after this call: 0.5263706200895613, self.uid: 23
Jan 13 09:49:42.171 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:49:50.254 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
Jan 13 09:49:53.572 INFO update_trustworthiness_with, trustworthiness after this call: 0.5227660847256463, self.uid: 23
Jan 13 09:50:07.943 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 23
Jan 13 09:50:17.734 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 23
