Jan 13 09:47:30.171 INFO node constructed, self.uid: 32
Jan 13 09:47:38.497 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:48:01.858 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
Jan 13 09:48:05.226 INFO update_trustworthiness_with, trustworthiness after this call: 0.6766774552510265, self.uid: 32
Jan 13 09:48:08.607 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:48:28.494 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
Jan 13 09:48:33.473 INFO update_trustworthiness_with, trustworthiness after this call: 0.5921432450745386, self.uid: 32
Jan 13 09:48:36.795 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:48:55.895 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
Jan 13 09:49:00.928 INFO update_trustworthiness_with, trustworthiness after this call: 0.5567129091817681, self.uid: 32
Jan 13 09:49:04.271 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:49:26.003 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
Jan 13 09:49:27.741 INFO update_trustworthiness_with, trustworthiness after this call: 0.5418437538914634, self.uid: 32
Jan 13 09:49:31.130 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:49:50.904 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
Jan 13 09:49:53.565 INFO update_trustworthiness_with, trustworthiness after this call: 0.5359281269056286, self.uid: 32
Jan 13 09:49:56.893 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 32
Jan 13 09:50:15.624 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 32
