Jan 13 09:56:43.767 INFO node constructed, self.uid: 24
Jan 13 09:57:10.291 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
Jan 13 09:57:15.096 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 24
Jan 13 09:57:18.973 INFO update_trustworthiness_with, trustworthiness after this call: 0.6855103715941921, self.uid: 24
Jan 13 09:57:40.155 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
Jan 13 09:57:46.104 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 24
Jan 13 09:57:48.032 INFO update_trustworthiness_with, trustworthiness after this call: 0.5951647718942106, self.uid: 24
Jan 13 09:58:09.239 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
Jan 13 09:58:37.582 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
Jan 13 09:59:04.789 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
Jan 13 09:59:31.530 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 24
