Jan 13 09:56:43.769 INFO node constructed, self.uid: 31
Jan 13 09:56:50.287 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
Jan 13 09:57:16.427 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 31
Jan 13 09:57:18.943 INFO update_trustworthiness_with, trustworthiness after this call: 0.7221085934120344, self.uid: 31
Jan 13 09:57:20.475 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
Jan 13 09:57:44.239 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 31
Jan 13 09:57:48.008 INFO update_trustworthiness_with, trustworthiness after this call: 0.6136745211395431, self.uid: 31
Jan 13 09:57:49.554 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
Jan 13 09:58:12.393 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 98, self.uid: 31
Jan 13 09:58:16.308 INFO update_trustworthiness_with, trustworthiness after this call: 0.5620313679693456, self.uid: 31
Jan 13 09:58:17.851 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
Jan 13 09:58:45.156 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
Jan 13 09:59:11.844 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 31
