Jan 13 10:08:33.190 INFO node constructed, self.uid: 42
Jan 13 10:08:51.645 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 42
Jan 13 10:09:04.304 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 42
Jan 13 10:09:09.481 INFO update_trustworthiness_with, trustworthiness after this call: 0.6755187249104546, self.uid: 42
Jan 13 10:09:22.871 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 42
Jan 13 10:09:33.198 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 42
Jan 13 10:09:38.786 INFO update_trustworthiness_with, trustworthiness after this call: 0.599215911378128, self.uid: 42
Jan 13 10:09:52.172 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 42
Jan 13 10:10:03.844 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 42
Jan 13 10:10:06.458 INFO update_trustworthiness_with, trustworthiness after this call: 0.5659888620901455, self.uid: 42
Jan 13 10:10:19.888 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 42
Jan 13 10:10:29.855 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 42
