Jan 13 10:15:37.835 INFO node constructed, self.uid: 15
Jan 13 10:16:03.379 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 15
Jan 13 10:16:08.312 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 10:16:14.404 INFO update_trustworthiness_with, trustworthiness after this call: 0.7004553847222263, self.uid: 15
Jan 13 10:16:34.550 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 15
Jan 13 10:16:41.659 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 10:16:43.173 INFO update_trustworthiness_with, trustworthiness after this call: 0.6076881070086779, self.uid: 15
Jan 13 10:17:03.357 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 15
Jan 13 10:17:07.362 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
Jan 13 10:17:09.677 INFO update_trustworthiness_with, trustworthiness after this call: 0.5683990072733863, self.uid: 15
Jan 13 10:17:29.822 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 15
Jan 13 10:17:33.403 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 15
