Jan 13 10:15:37.830 INFO node constructed, self.uid: 39
Jan 13 10:16:00.491 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 39
Jan 13 10:16:08.814 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 10:16:14.400 INFO update_trustworthiness_with, trustworthiness after this call: 0.7670415299791753, self.uid: 39
Jan 13 10:16:31.720 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 39
Jan 13 10:16:39.532 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 10:16:43.169 INFO update_trustworthiness_with, trustworthiness after this call: 0.6478342410791808, self.uid: 39
Jan 13 10:17:00.497 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 39
Jan 13 10:17:06.651 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 10:17:09.675 INFO update_trustworthiness_with, trustworthiness after this call: 0.5954926952912384, self.uid: 39
Jan 13 10:17:26.946 INFO get_dsij_pairs_shares, the number of public keys: 60, self.uid: 39
Jan 13 10:17:34.737 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
