Jan 13 09:18:35.824 INFO node constructed, self.uid: 30
Jan 13 09:19:27.702 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:19:40.442 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:19:54.257 INFO update_trustworthiness_with, trustworthiness after this call: 0.6884136119535197, self.uid: 30
Jan 13 09:20:40.921 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:20:57.268 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:21:06.352 INFO update_trustworthiness_with, trustworthiness after this call: 0.5972075216327494, self.uid: 30
Jan 13 09:21:52.997 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:22:11.177 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:22:17.860 INFO update_trustworthiness_with, trustworthiness after this call: 0.5521951023380269, self.uid: 30
Jan 13 09:23:04.516 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:23:18.954 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:23:28.997 INFO update_trustworthiness_with, trustworthiness after this call: 0.5306020173668012, self.uid: 30
Jan 13 09:24:15.698 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:24:35.879 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:24:39.084 INFO update_trustworthiness_with, trustworthiness after this call: 0.5205410712083145, self.uid: 30
Jan 13 09:25:25.657 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 30
Jan 13 09:25:41.125 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 30
Jan 13 09:25:48.568 INFO update_trustworthiness_with, trustworthiness after this call: 0.5159782503167787, self.uid: 30
