Jan 13 09:18:35.822 INFO node constructed, self.uid: 59
Jan 13 09:18:55.048 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:19:43.271 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:19:54.236 INFO update_trustworthiness_with, trustworthiness after this call: 0.7120837757852514, self.uid: 59
Jan 13 09:20:08.486 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:21:00.555 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:21:06.335 INFO update_trustworthiness_with, trustworthiness after this call: 0.6115673807652583, self.uid: 59
Jan 13 09:21:20.539 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:22:05.649 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:22:17.844 INFO update_trustworthiness_with, trustworthiness after this call: 0.5612535692543209, self.uid: 59
Jan 13 09:22:32.045 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:23:20.358 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:23:28.982 INFO update_trustworthiness_with, trustworthiness after this call: 0.5368446691513457, self.uid: 59
Jan 13 09:23:43.191 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:24:29.511 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:24:39.068 INFO update_trustworthiness_with, trustworthiness after this call: 0.5254764578899254, self.uid: 59
Jan 13 09:24:53.253 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 59
Jan 13 09:25:43.174 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 59
Jan 13 09:25:48.553 INFO update_trustworthiness_with, trustworthiness after this call: 0.5203932501563142, self.uid: 59
