Jan 13 09:10:42.581 INFO node constructed, self.uid: 45
Jan 13 09:11:03.603 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 45
Jan 13 09:11:52.591 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 09:12:00.916 INFO update_trustworthiness_with, trustworthiness after this call: 0.6781413008373787, self.uid: 45
Jan 13 09:12:16.770 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 45
Jan 13 09:13:04.309 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 09:13:11.856 INFO update_trustworthiness_with, trustworthiness after this call: 0.5869662574305987, self.uid: 45
Jan 13 09:13:27.707 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 45
Jan 13 09:14:10.539 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 09:14:20.854 INFO update_trustworthiness_with, trustworthiness after this call: 0.5500951796757254, self.uid: 45
Jan 13 09:14:36.736 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 45
Jan 13 09:15:24.314 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 09:15:28.084 INFO update_trustworthiness_with, trustworthiness after this call: 0.5348869698251846, self.uid: 45
Jan 13 09:15:43.971 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 45
Jan 13 09:16:27.292 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 45
Jan 13 09:16:34.381 INFO update_trustworthiness_with, trustworthiness after this call: 0.5293201627185959, self.uid: 45
