Jan 13 09:10:42.558 INFO node constructed, self.uid: 7
Jan 13 09:11:20.374 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 7
Jan 13 09:11:47.221 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 7
Jan 13 09:12:00.927 INFO update_trustworthiness_with, trustworthiness after this call: 0.708005074310625, self.uid: 7
Jan 13 09:12:33.459 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 7
Jan 13 09:13:03.927 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 7
Jan 13 09:13:11.864 INFO update_trustworthiness_with, trustworthiness after this call: 0.6013176595323472, self.uid: 7
Jan 13 09:13:44.346 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 7
Jan 13 09:14:11.174 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 7
Jan 13 09:14:20.862 INFO update_trustworthiness_with, trustworthiness after this call: 0.555805651765973, self.uid: 7
Jan 13 09:14:53.354 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 7
Jan 13 09:15:24.180 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 7
Jan 13 09:15:28.091 INFO update_trustworthiness_with, trustworthiness after this call: 0.5376368236506145, self.uid: 7
Jan 13 09:16:00.663 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 7
Jan 13 09:16:29.055 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 7
Jan 13 09:16:34.389 INFO update_trustworthiness_with, trustworthiness after this call: 0.5312824054728796, self.uid: 7
