Jan 13 09:10:42.558 INFO node constructed, self.uid: 18
Jan 13 09:11:20.919 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 18
Jan 13 09:11:54.284 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 18
Jan 13 09:12:00.928 INFO update_trustworthiness_with, trustworthiness after this call: 0.6027353876433968, self.uid: 18
Jan 13 09:12:33.997 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 18
Jan 13 09:13:02.390 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 18
Jan 13 09:13:11.865 INFO update_trustworthiness_with, trustworthiness after this call: 0.5422326646594569, self.uid: 18
Jan 13 09:13:44.874 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 18
Jan 13 09:14:12.896 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 18
Jan 13 09:14:20.863 INFO update_trustworthiness_with, trustworthiness after this call: 0.5210583585925056, self.uid: 18
Jan 13 09:14:53.877 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 18
Jan 13 09:15:24.583 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 18
Jan 13 09:15:28.092 INFO update_trustworthiness_with, trustworthiness after this call: 0.5125841503412605, self.uid: 18
Jan 13 09:16:01.193 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 18
Jan 13 09:16:28.163 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 18
Jan 13 09:16:34.390 INFO update_trustworthiness_with, trustworthiness after this call: 0.5097927537784159, self.uid: 18
