Jan 13 08:58:10.417 INFO node constructed, self.uid: 31
Jan 13 08:58:28.415 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 31
Jan 13 08:59:20.055 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 31
Jan 13 08:59:28.621 INFO update_trustworthiness_with, trustworthiness after this call: 0.7642567893801987, self.uid: 31
Jan 13 08:59:41.577 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 31
Jan 13 09:00:35.155 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 31
Jan 13 09:00:38.891 INFO update_trustworthiness_with, trustworthiness after this call: 0.6358699356646462, self.uid: 31
Jan 13 09:00:51.842 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 31
Jan 13 09:01:43.737 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 31
Jan 13 09:01:47.003 INFO update_trustworthiness_with, trustworthiness after this call: 0.5808516675743365, self.uid: 31
Jan 13 09:01:59.994 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 31
Jan 13 09:02:49.479 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 31
Jan 13 09:02:54.629 INFO update_trustworthiness_with, trustworthiness after this call: 0.5596376673655531, self.uid: 31
Jan 13 09:03:07.603 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 31
Jan 13 09:03:54.803 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 31
Jan 13 09:04:00.657 INFO update_trustworthiness_with, trustworthiness after this call: 0.5518356509920371, self.uid: 31
