Jan 13 08:39:55.715 INFO node constructed, self.uid: 39
Jan 13 08:40:11.618 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 39
Jan 13 08:41:08.064 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 08:41:14.004 INFO update_trustworthiness_with, trustworthiness after this call: 0.6768279577282182, self.uid: 39
Jan 13 08:41:24.962 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 39
Jan 13 08:42:13.170 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 08:42:24.140 INFO update_trustworthiness_with, trustworthiness after this call: 0.5940706756013642, self.uid: 39
Jan 13 08:42:35.145 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 39
Jan 13 08:43:27.495 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 08:43:32.648 INFO update_trustworthiness_with, trustworthiness after this call: 0.55443975895839, self.uid: 39
Jan 13 08:43:43.584 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 39
Jan 13 08:44:36.653 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 08:44:40.272 INFO update_trustworthiness_with, trustworthiness after this call: 0.5375548714591845, self.uid: 39
Jan 13 08:44:51.133 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 39
Jan 13 08:45:41.148 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 39
Jan 13 08:45:46.053 INFO update_trustworthiness_with, trustworthiness after this call: 0.5307692806544344, self.uid: 39
