Jan 13 08:25:11.888 INFO node constructed, self.uid: 1
Jan 13 08:25:59.924 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 1
Jan 13 08:26:22.292 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 13 08:26:30.333 INFO update_trustworthiness_with, trustworthiness after this call: 0.6937689695194186, self.uid: 1
Jan 13 08:27:13.015 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 1
Jan 13 08:27:34.704 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 13 08:27:40.071 INFO update_trustworthiness_with, trustworthiness after this call: 0.5948103546523212, self.uid: 1
Jan 13 08:28:22.472 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 1
Jan 13 08:28:43.981 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 13 08:28:47.365 INFO update_trustworthiness_with, trustworthiness after this call: 0.5552391556907699, self.uid: 1
Jan 13 08:29:29.970 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 1
Jan 13 08:29:50.006 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 13 08:29:54.219 INFO update_trustworthiness_with, trustworthiness after this call: 0.5399443554747061, self.uid: 1
Jan 13 08:30:36.883 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 1
Jan 13 08:30:58.124 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 1
Jan 13 08:30:59.653 INFO update_trustworthiness_with, trustworthiness after this call: 0.5347855535400945, self.uid: 1
