Jan 13 08:25:11.888 INFO node constructed, self.uid: 17
Jan 13 08:25:28.176 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 17
Jan 13 08:26:25.228 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 17
Jan 13 08:26:30.308 INFO update_trustworthiness_with, trustworthiness after this call: 0.6864698280573074, self.uid: 17
Jan 13 08:26:41.504 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 17
Jan 13 08:27:28.918 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 17
Jan 13 08:27:40.054 INFO update_trustworthiness_with, trustworthiness after this call: 0.592734494706402, self.uid: 17
Jan 13 08:27:51.157 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 17
Jan 13 08:28:39.011 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 17
Jan 13 08:28:47.351 INFO update_trustworthiness_with, trustworthiness after this call: 0.553671910394746, self.uid: 17
Jan 13 08:28:58.523 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 17
Jan 13 08:29:52.183 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 17
Jan 13 08:29:54.203 INFO update_trustworthiness_with, trustworthiness after this call: 0.5390456197548471, self.uid: 17
Jan 13 08:30:05.455 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 17
Jan 13 08:30:52.603 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 17
Jan 13 08:30:59.638 INFO update_trustworthiness_with, trustworthiness after this call: 0.5339404138847984, self.uid: 17
