Jan 13 08:25:11.886 INFO node constructed, self.uid: 19
Jan 13 08:25:29.453 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 19
Jan 13 08:26:17.921 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 19
Jan 13 08:26:30.309 INFO update_trustworthiness_with, trustworthiness after this call: 0.6839468362581413, self.uid: 19
Jan 13 08:26:42.781 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 19
Jan 13 08:27:30.433 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 19
Jan 13 08:27:40.055 INFO update_trustworthiness_with, trustworthiness after this call: 0.5904235178014547, self.uid: 19
Jan 13 08:27:52.399 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 19
Jan 13 08:28:39.767 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 19
Jan 13 08:28:47.352 INFO update_trustworthiness_with, trustworthiness after this call: 0.5487193829152088, self.uid: 19
Jan 13 08:28:59.768 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 19
Jan 13 08:29:46.383 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 19
Jan 13 08:29:54.204 INFO update_trustworthiness_with, trustworthiness after this call: 0.5327921420672737, self.uid: 19
Jan 13 08:30:06.719 INFO get_dsij_pairs_shares, the number of public keys: 80, self.uid: 19
Jan 13 08:30:58.254 INFO get_dsij_sum_pairs, the number of summation pairs (equals to eids) in this call: 100, self.uid: 19
Jan 13 08:30:59.639 INFO update_trustworthiness_with, trustworthiness after this call: 0.5271122826506539, self.uid: 19
