identifier,delay_seconds
1,15
2,74
3,101
4,31
5,49
6,112
7,14
8,10
9,54
10,24
11,120
12,116
13,88
14,24
15,119
16,75
17,38
18,107
19,105
20,94
21,103
22,96
23,105
24,80
25,74
26,21
27,43
28,55
29,97
30,83
31,79
32,39
33,75
34,22
35,93
36,66
37,67
38,101
39,110
40,56
41,41
42,9
43,53
44,81
45,73
46,49
47,76
48,108
49,112
50,94
51,108
52,112
53,31
54,35
55,96
56,110
57,98
58,83
59,25
60,37
61,69
62,114
63,49
64,102
65,61
66,18
67,84
68,17
69,39
70,46
71,103
72,27
73,62
74,84
75,80
76,18
77,78
78,70
79,42
80,59
81,53
82,41
83,118
84,37
85,8
86,19
87,15
88,32
89,12
90,113
91,10
92,92
93,49
94,11
95,44
96,72
97,97
98,83
99,72
100,75
101,23
102,50
103,53
104,104
105,50
106,11
107,73
108,22
109,84
110,80
111,12
112,39
113,120
114,24
115,118
116,20
117,58
118,71
119,7
120,50
121,33
122,67
123,29
124,5
125,33
126,81
127,89
128,101
129,32
130,63
131,105
132,31
133,12
134,59
135,116
136,75
137,26
138,23
139,77
140,34
141,109
142,95
143,43
144,41
145,30
146,30
147,93
148,79
149,81
150,30
151,77
152,81
153,80
154,10
155,71
156,25
157,80
158,71
159,78
160,40
161,40
162,41
163,39
164,68
165,45
166,94
167,79
168,42
169,21
170,115
171,22
172,78
173,112
174,60
175,65
176,36
177,84
178,53
179,18
180,96
181,32
182,31
183,23
184,16
185,109
186,40
187,5
188,52
189,88
190,24
191,83
192,74
193,35
194,108
195,14
196,87
197,40
198,60
199,49
200,63
201,120
202,86
203,38
204,102
205,111
206,91
207,33
208,22
209,115
210,74
211,118
212,18
213,27
214,109
215,12
216,97
217,14
218,10
219,96
220,115
221,33
222,9
223,73
224,69
225,23
226,107
227,58
228,64
229,107
230,105
231,115
232,19
233,65
234,21
235,92
236,97
237,114
238,24
239,105
240,43
241,82
242,53
243,44
244,32
245,19
246,55
247,101
248,70
249,14
250,38
251,85
252,72
253,91
254,113
255,16
256,81
257,21
258,13
259,70
260,83
261,118
262,48
263,70
264,92
265,52
266,35
267,114
268,73
269,104
270,48
271,111
272,67
273,106
274,108
275,14
276,64
277,100
278,28
279,86
280,93
281,63
282,78
283,84
284,44
285,101
286,64
287,98
288,101
289,20
290,56
291,43
292,94
293,95
294,38
295,44
296,36
297,65
298,104
299,91
300,99
301,115
302,46
303,92
304,54
305,63
306,32
307,113
308,90
309,100
310,42
311,116
312,42
313,17
314,75
315,86
316,76
317,110
318,97
319,91
320,29
321,96
322,113
323,13
324,36
325,120
326,113
327,19
328,63
329,69
330,48
331,79
332,37
333,71
334,96
335,41
336,88
337,106
338,52
339,11
340,90
341,52
342,46
343,81
344,114
345,28
346,58
347,34
348,25
349,50
350,108
351,15
352,52
353,7
354,53
355,76
356,102
357,60
358,35
359,64
360,109
361,51
362,12
363,78
364,28
365,81
366,34
367,90
368,57
369,83
370,60
371,31
372,39
373,28
374,105
375,36
376,12
377,12
378,109
379,81
380,62
381,73
382,80
383,118
384,16
385,61
386,107
387,12
388,10
389,95
390,119
391,50
392,43
393,64
394,37
395,109
396,33
397,87
398,77
399,64
400,106
401,56
402,56
403,120
404,44
405,72
406,104
407,48
408,73
409,49
410,30
411,50
412,7
413,37
414,31
415,21
416,68
417,39
418,39
419,69
420,25
421,6
422,13
423,30
424,107
425,35
426,99
427,91
428,88
429,16
430,91
431,77
432,106
433,10
434,35
435,44
436,69
437,53
438,76
439,83
440,68
441,27
442,23
443,71
444,18
445,94
446,62
447,76
448,116
449,88
450,89
451,112
452,88
453,105
454,105
455,43
456,53
457,116
458,119
459,103
460,25
461,32
462,91
463,119
464,119
465,90
466,23
467,96
468,61
469,55
470,48
471,50
472,56
473,39
474,87
475,95
476,31
477,82
478,56
479,9
480,77
481,54
482,104
483,12
484,55
485,70
486,91
487,72
488,73
489,109
490,52
491,117
492,24
493,72
494,23
495,42
496,71
497,113
498,32
499,62
500,94
501,119
502,109
503,58
504,19
505,45
506,48
507,93
508,48
509,72
510,96
511,97
512,79
513,22
514,33
515,111
516,16
517,37
518,79
519,15
520,7
521,38
522,112
523,70
524,32
525,29
526,61
527,8
528,106
529,57
530,24
531,84
532,119
533,43
534,99
535,93
536,85
537,101
538,108
539,38
540,57
541,75
542,23
543,28
544,81
545,66
546,77
547,22
548,23
549,108
550,14
551,70
552,24
553,106
554,40
555,100
556,66
557,69
558,104
559,50
560,96
561,47
562,90
563,28
564,68
565,45
566,79
567,15
568,106
569,11
570,36
571,66
572,69
573,28
574,67
575,101
576,113
577,94
578,104
579,56
580,81
581,97
582,29
583,14
584,65
585,74
586,90
587,97
588,83
589,66
590,26
591,8
592,101
593,116
594,39
595,16
596,73
597,63
598,40
599,19
600,30
601,50
602,85
603,65
604,40
605,55
606,94
607,80
608,16
609,102
610,89
611,89
612,38
613,104
614,10
615,102
616,114
617,77
618,89
619,109
620,15
621,98
622,92
623,31
624,66
625,78
626,14
627,76
628,58
629,90
630,69
631,98
632,41
633,103
634,65
635,45
636,120
637,47
638,27
639,21
640,25
641,105
642,46
643,26
644,104
645,32
646,120
647,116
648,23
649,13
650,79
651,118
652,61
653,28
654,77
655,74
656,65
657,46
658,59
659,59
660,102
661,64
662,105
663,29
664,47
665,19
666,86
667,68
668,51
669,13
670,66
671,88
672,71
673,65
674,108
675,13
676,62
677,104
678,87
679,14
680,10
681,103
682,69
683,55
684,92
685,23
686,66
687,114
688,54
689,97
690,84
691,81
692,111
693,43
694,98
695,69
696,36
697,117
698,67
699,114
700,24
701,65
702,120
703,21
704,104
705,115
706,110
707,15
708,27
709,52
710,18
711,20
712,79
713,37
714,37
715,55
716,120
717,94
718,116
719,83
720,33
721,112
722,111
723,100
724,42
725,7
726,94
727,64
728,73
729,25
730,104
731,63
732,85
733,24
734,40
735,31
736,17
737,59
738,43
739,35
740,10
741,117
742,45
743,22
744,79
745,9
746,16
747,65
748,47
749,55
750,18
751,96
752,71
753,42
754,38
755,120
756,13
757,62
758,91
759,120
760,60
761,7
762,111
763,36
764,69
765,110
766,107
767,74
768,70
769,92
770,52
771,30
772,86
773,82
774,72
775,25
776,53
777,110
778,117
779,56
780,109
781,107
782,78
783,119
784,99
785,77
786,60
787,55
788,46
789,18
790,110
791,29
792,50
793,91
794,86
795,82
796,8
797,27
798,103
799,35
800,90
801,5
802,21
803,46
804,83
805,111
806,79
807,100
808,59
809,80
810,75
811,86
812,56
813,98
814,103
815,65
816,44
817,37
818,113
819,75
820,41
821,73
822,120
823,7
824,24
825,14
826,16
827,117
828,68
829,68
830,52
831,30
832,84
833,38
834,93
835,75
836,105
837,70
838,77
839,51
840,37
841,65
842,43
843,117
844,120
845,42
846,8
847,57
848,29
849,116
850,40
851,87
852,86
853,33
854,99
855,94
856,117
857,25
858,104
859,68
860,109
861,37
862,46
863,94
864,87
865,75
866,20
867,12
868,35
869,26
870,115
871,44
872,93
873,55
874,102
875,74
876,71
877,112
878,43
879,111
880,10
881,89
882,17
883,71
884,32
885,12
886,93
887,113
888,99
889,29
890,75
891,66
892,54
893,84
894,115
895,32
896,55
897,110
898,26
899,43
900,70
901,38
902,19
903,13
904,32
905,52
906,13
907,10
908,50
909,105
910,58
911,103
912,75
913,26
914,16
915,74
916,99
917,14
918,94
919,79
920,59
921,13
922,35
923,63
924,81
925,34
926,52
927,89
928,107
929,33
930,47
931,44
932,15
933,28
934,115
935,69
936,113
937,42
938,13
939,44
940,104
941,84
942,17
943,40
944,75
945,105
946,108
947,35
948,36
949,81
950,102
951,54
952,86
953,77
954,113
955,76
956,89
957,79
958,118
959,87
960,97
961,101
962,29
963,40
964,37
965,64
966,5
967,119
968,63
969,111
970,106
971,41
972,36
973,84
974,46
975,71
976,20
977,10
978,48
979,33
980,15
981,114
982,101
983,95
984,109
985,97
986,13
987,29
988,78
989,104
990,51
991,12
992,101
993,57
994,78
995,63
996,79
997,29
998,57
999,35
1000,36
